nick_name,full_name,occupation,powers,hobby,type,rank
Gale,Gale Dekarious,"{""Wizard"", ""Adventurer"", ""Deity""}","{""Magical prowess"", ""High intelligence"", ""Charisma""}","{""Studying magic"", ""Drinking"", ""Cooking""}",Wizard,54
Ragnar,Ragnar Steelheart,"{""Warrior"", ""Mercenary"", ""Blacksmith""}","{""Super strength"", ""Sword mastery"", ""Endurance""}","{""Forging weapons"", ""Training"", ""Hunting""}",Warrior,48
Lyra,Lyra Moonshadow,"{""Assassin"", ""Spy"", ""Thief""}","{""Stealth"", ""Agility"", ""Poison mastery""}","{""Lockpicking"", ""Night walks"", ""Collecting jewels""}",Assassin,51
Thorn,Thorn Wildroot,"{""Druid"", ""Healer"", ""Herbalist""}","{""Nature control"", ""Healing magic"", ""Animal communication""}","{""Gardening"", ""Meditation"", ""Brewing potions""}",Druid,46
Kael,Kael Stormbreaker,"{""Knight"", ""Commander"", ""Guardian""}","{""Lightning control"", ""Leadership"", ""Shield mastery""}","{""Horse riding"", ""Strategy games"", ""Fishing""}",Knight,57
Nyx,Nyx Ravencrest,"{""Necromancer"", ""Scholar"", ""Cult Leader""}","{""Dark magic"", ""Summoning undead"", ""Mind control""}","{""Reading ancient books"", ""Collecting skulls"", ""Chess""}",Necromancer,62
Astra,Astra Solwind,"{""Archer"", ""Explorer"", ""Scout""}","{""Perfect aim"", ""Enhanced vision"", ""Speed""}","{""Traveling"", ""Climbing"", ""Bird watching""}",Archer,44
Drako,Drako Infernis,"{""Dragon Rider"", ""Bounty Hunter"", ""Gladiator""}","{""Fire breathing"", ""Combat mastery"", ""Fear aura""}","{""Arena fights"", ""Treasure hunting"", ""Cooking meat""}",Dragon Rider,66
Selene,Selene Frostveil,"{""Ice Sorceress"", ""Queen"", ""Diplomat""}","{""Ice manipulation"", ""Telepathy"", ""Charm""}","{""Painting"", ""Ice skating"", ""Playing harp""}",Sorceress,59
Orion,Orion Nightflare,"{""Paladin"", ""Monster Hunter"", ""Priest""}","{""Holy magic"", ""Monster tracking"", ""Healing""}","{""Praying"", ""Training"", ""Storytelling""}",Paladin,53
